term,coef,direction
my,0.624497783328095,positive
me,0.5558290770657304,positive
it,0.5076282642584162,positive
am,0.442651200792153,positive
gt,0.4139458725084375,positive
lt,0.412220901666177,positive
when,0.4029013211803866,positive
got,0.40193718406105194,positive
how,0.38718735382053493,positive
up,0.38322166288207404,positive
lt gt,0.37743911070234504,positive
that,0.3714678421074254,positive
so,0.35265732911343833,positive
its,0.3472526121789016,positive
hope,0.34706009262332815,positive
if,0.32976836719252506,positive
but,0.3280529156184799,positive
going,0.32578176741742126,positive
come,0.3230172449433087,positive
free sms,0.32176320276579473,positive
text,-1.35621513877857,negative
your,-1.1553897628101715,negative
uk,-1.1015898420538415,negative
service,-1.0122163626462053,negative
mobile,-0.9990628864680285,negative
http,-0.8683670978463419,negative
rgds,-0.8603959157988346,negative
com,-0.8528823027667457,negative
arsenal,-0.7831185616485433,negative
asap,-0.7767362644709844,negative
ringtone,-0.7627068942087998,negative
reply,-0.7579707915855093,negative
your mobile,-0.7259468137050569,negative
ltd,-0.7029137860354486,negative
txt,-0.69252033060064,negative
order,-0.6898091290857413,negative
for,-0.6635105403550824,negative
me asap,-0.6617423337725481,negative
content,-0.6509729724222095,negative
tones,-0.6305417261518611,negative
